Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,Note,chartComment,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,201415,2015,DateUpdated,UpdatedByInitials,Order
Social Determinants of Health,"Adults Completing Some College, ≥ 25 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,"Percentage of adults, 25 years or older, who completed at least some college.",,Please note that data years differ across dimensions for this indicator.,0.4,,,,,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,,0.5,7/25/2016,jtd,72
Social Determinants of Health,"Unemployment, ≥ 16 Years of Age",,Percentage,"Bureau of Labor Statistics, Local Area Unemployment Statistics - Annual Averages (County data)",2000-2015,"Percentage of population, 16 years or older, who are unemployed but seeking work.",,Please note that data sources and years differ across dimensions for this indicator.,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,8/19/2016,mlp,73
Social Determinants of Health,Philadelphians Living in Poverty,,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,"Percentage of population, including all ages, living in a household with an income below 100% of the federal poverty level (FPL).",,"In 2015, the FPL was equivalent to a yearly income of no more than $11,770 for an individual, or $24,250 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.2,,,,,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,7/25/2016,jtd,74
Social Determinants of Health,"Children Living in Poverty, < 18 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,Percentage of children under 18 with a family income below 100% of the federal poverty level (FPL).,,"In 2015, the FPL was equivalent to a yearly income of no more than $11,770 for an individual, or $24,250 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.3,,,,,,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,,0.4,8/2/2016,jtd,75
Social Determinants of Health,"Children in Single-Parent Households, < 18 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2005-2015,Percentage of all children in family households that live in a household headed by a single parent (male or female head of household with no spouse present).,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,0.6,8/2/2016,jtd,76
Social Determinants of Health,Social Capital,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2002-2014/15,"Percentage of adults reporting ""yes"" to, ""Have people in your neighborhood ever worked together to improve the neighborhood? For example, through a neighborhood watch, creating a community garden, building a community playground, or participating in a block party.""",,,,,0.7,,0.7,,0.7,,0.7,,0.7,,0.7,,,0.7,,8/29/2016,mlp,77
Social Determinants of Health,Housing-Cost Burden for Renters,,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,Percentage of the household population who pays 30% or more of their income for rental housing.,,"According to the US Department of Housing and Urban Development (HUD), families who pay more than 30% of their income for housing are considered cost burdened and may have difficulty affording necessities such as food, clothing, transportation, and medical care.",0.4,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,10/19/2016,mlp,78
Social Determinants of Health,Severe Housing-Cost Burden for Renters,,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2000-2015,Percentage of the household population who pays 50% or more of their income for rental housing.,,"According to the US Department of Housing and Urban Development (HUD), families who pay more than 30% of their income for housing are considered cost burdened and may have difficulty affording necessities such as food, clothing, transportation, and medical care.",0.2,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,10/19/2016,mlp,79
Summary Health Measures,"Gap in Life Expectancy at Birth Between Black and White Philadelphians, female",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2006-2013,"The gap in life expectancy at birth between black, non-Hispanic and white, non-Hispanic Philadelphians. The life expectancy for black is subtracted from the life expectancy for white.",,,,,,,,,4.7,5.0,5.2,5.7,5.9,3.8,3.0,2.5,,,,12/9/2016,AH,80
Summary Health Measures,"Gap in Life Expectancy at Birth Between Black and White Philadelphians, Male",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2006-2013,"The gap in life expectancy at birth between black, non-Hispanic and white, non-Hispanic Philadelphians. The life expectancy for black is subtracted from the life expectancy for white.",,,,,,,,,7.6,7.7,7.4,7.7,7.7,5.1,5.9,4.8,,,,12/9/2016,AH,81
